System	Total_Individuals	Individual_FP	YearRate	round	age	rrisk	crisk	erisk
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	14	64	0.37727584706345885	4.465653713370543e-7	9.340862294048117
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	15	65	0.37727584706345885	1.684783287403952e-7	9.963586446984658
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	16	66	0.37727584706345885	6.35628041873685e-8	10.5863105999212
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	17	67	0.37727584706345885	2.3980710791518218e-8	11.209034752857741
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	18	68	0.37727584706345885	9.047342977053864e-9	11.831758905794281
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	19	69	0.37727584706345885	3.4133439853416318e-9	12.454483058730823
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	20	70	0.37727584706345885	1.2877722433887266e-9	13.077207211667364
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	21	71	0.37727584706345885	4.858453639492925e-10	13.699931364603906
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	22	72	0.37727584706345885	1.832977212258238e-10	14.322655517540447
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	23	73	0.37727584706345885	6.915380304027441e-11	14.945379670476989
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	24	74	0.37727584706345885	2.6090059619679124e-11	15.568103823413528
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	25	75	0.37727584706345885	9.843149342950585e-12	16.19082797635007
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	26	76	0.37727584706345885	3.71358250613381e-12	16.81355212928661
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	27	77	0.37727584706345885	1.4010449856416757e-12	17.43627628222315
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	28	78	0.37727584706345885	5.285804337319747e-13	18.059000435159692
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	29	79	0.37727584706345885	1.9942063087740124e-13	18.681724588096234
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	0	50	0.9950236942162074	0.9950236942162074	0.004976305783792547
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	1	51	0.9950236942162074	0.9900721520516687	0.009952611567585094
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	2	52	0.9950236942162074	0.9851452502750419	0.01492891735137764
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	3	53	0.9950236942162074	0.9802428662682224	0.019905223135170187
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	4	54	0.9950236942162074	0.9753648780232904	0.024881528918962732
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	5	55	0.9950236942162074	0.9705111641394749	0.02985783470275528
mced_ten	99830.3652938696	496.78642421000603	0.004976305783792547	6	56	0.9950236942162074	0.9656816038201324	0.03483414048654783
